0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2022-02-02 02:24:12.557342-03:00,16,1380,0,3706,818,0,1405,432,0,0,0,0,1928,0,0,2277,0,0,182,0,0,1925,2000,0
2022-02-02 02:24:12.557342-03:00,59,1361,0,3723,816,0,1406,424,0,0,0,0,1931,0,0,2259,0,0,185,0,0,1923,2096,0
2022-02-02 02:24:12.557342-03:00,100,1361,0,3738,831,0,1411,389,0,0,0,0,1887,0,0,2254,0,0,399,0,0,1877,2135,0
2022-02-02 02:24:12.557342-03:00,86,1363,0,3785,843,0,1393,405,0,0,0,0,1904,0,0,2192,0,0,176,0,0,1856,1999,0
2022-02-02 02:24:12.557342-03:00,114,1403,0,3839,880,0,1409,454,0,0,0,0,1898,0,0,2181,0,0,180,0,0,1845,1748,0
2022-02-02 02:24:12.557342-03:00,107,1392,0,3857,903,0,1406,439,0,19,0,0,1903,0,0,2185,0,0,630,0,0,1840,1613,0
2022-02-02 02:24:12.557342-03:00,95,1378,0,3827,954,0,1411,448,0,21,0,0,1897,0,0,2171,0,0,368,0,0,1840,1699,0
2022-02-02 02:24:12.557342-03:00,139,1408,0,3833,1008,0,1345,614,0,48,0,0,1891,0,0,2150,0,0,365,0,0,1817,1904,0
2022-02-02 02:24:12.557342-03:00,226,1408,0,3828,1043,0,1280,441,0,35,0,0,1861,0,0,2125,0,0,355,0,0,1759,2105,0
2022-02-02 02:24:12.557342-03:00,119,1391,0,3845,1051,0,1203,427,0,0,0,0,1840,0,0,2123,0,0,225,0,0,1729,2309,0
2022-02-02 02:24:12.557342-03:00,170,1354,0,3828,1066,0,1207,407,0,46,0,0,1794,0,0,2115,0,0,263,0,0,1685,2396,0
2022-02-02 02:24:12.557342-03:00,174,1360,0,3825,1049,0,1193,399,0,23,0,0,1766,0,0,2099,0,0,353,0,0,1679,2448,0
2022-02-02 02:24:13.558989-03:00,187,1313,0,3814,1075,0,1222,393,0,23,0,0,1734,0,0,2064,0,0,381,0,0,1662,2448,0
2022-02-02 02:24:13.558989-03:00,183,1302,0,3829,1089,0,1263,395,0,30,0,0,1712,0,0,2070,0,0,378,0,0,1648,2435,0
2022-02-02 02:24:13.558989-03:00,183,1312,0,3833,1083,0,1283,384,0,59,0,0,1702,0,0,2081,0,0,741,0,0,1642,2396,0
2022-02-02 02:24:13.558989-03:00,173,1323,0,3712,1075,0,1275,404,0,44,0,0,1710,0,0,2095,0,0,779,0,0,1646,2344,0
2022-02-02 02:24:13.558989-03:00,157,1327,0,3835,1056,0,1276,436,0,74,0,0,1721,0,0,2099,0,0,814,0,0,1646,2283,0
2022-02-02 02:24:13.558989-03:00,166,1327,0,3833,1055,0,1321,464,0,62,0,0,1741,0,0,2105,0,0,810,0,0,1669,2209,0
2022-02-02 02:24:13.558989-03:00,165,1338,0,3828,1055,0,1330,450,0,67,0,0,1734,0,0,2096,0,0,810,0,0,1689,2163,0
2022-02-02 02:24:13.558989-03:00,171,1352,0,3818,1062,0,1344,479,0,55,0,0,1748,0,0,2106,0,0,778,0,0,1680,2175,0
2022-02-02 02:24:13.558989-03:00,168,1373,0,3806,1075,0,1375,460,0,81,0,0,1744,0,0,2101,0,0,805,0,0,1679,2219,0
2022-02-02 02:24:13.558989-03:00,177,1398,0,3831,1084,0,1374,494,0,72,0,0,1754,0,0,2101,0,0,805,0,0,1683,2465,0
2022-02-02 02:24:13.558989-03:00,185,1402,0,3824,1090,0,1377,462,0,64,0,0,1739,0,0,2096,0,0,823,0,0,1675,2291,0
2022-02-02 02:24:13.558989-03:00,174,1402,0,3822,1110,0,1382,466,0,75,0,0,1738,0,0,2075,0,0,840,0,0,1669,2288,0
2022-02-02 02:24:13.558989-03:00,190,1424,0,3828,1114,0,1381,467,0,70,0,0,1737,0,0,2075,0,0,816,0,0,1665,2274,0
2022-02-02 02:24:13.558989-03:00,145,1417,0,3883,1119,0,1409,459,0,79,0,0,1734,0,0,2080,0,0,853,0,0,1670,2247,0
2022-02-02 02:24:13.558989-03:00,165,1439,0,3820,1146,0,1463,452,0,79,0,0,1744,0,0,2087,0,0,865,0,0,1687,2177,0
2022-02-02 02:24:13.558989-03:00,151,1430,0,3241,1175,0,1435,451,0,74,0,0,1744,0,0,2085,0,0,857,0,0,1654,2183,0
2022-02-02 02:24:13.558989-03:00,151,1450,0,3239,1209,256,1452,447,0,58,0,0,1737,0,0,2083,0,0,855,0,0,1654,2113,0
2022-02-02 02:24:13.558989-03:00,144,1424,0,3217,1206,0,1455,435,0,76,0,0,1734,0,0,2067,0,0,857,0,0,1642,2128,0
2022-02-02 02:24:13.558989-03:00,143,1429,0,3234,1206,0,1463,432,0,80,0,0,1712,0,0,2064,0,0,837,0,0,1631,2128,0
2022-02-02 02:24:13.558989-03:00,144,1424,0,3248,1203,0,1465,445,0,77,0,0,1712,0,0,2058,0,0,867,0,0,1623,2149,0
2022-02-02 02:24:13.558989-03:00,144,1408,0,3255,1202,0,1472,432,0,91,0,0,1712,0,0,2064,0,0,859,0,0,1623,2331,0
2022-02-02 02:24:13.558989-03:00,128,1419,0,3282,1195,0,1473,445,0,171,0,0,1703,0,0,2038,0,0,865,0,0,1620,2160,0
2022-02-02 02:24:13.558989-03:00,143,1421,0,3227,1217,0,1477,436,0,84,0,0,1698,0,0,2042,0,0,894,0,0,1622,2141,0
2022-02-02 02:24:13.558989-03:00,143,1430,0,3264,1214,0,1489,441,0,80,0,0,1697,0,0,2054,0,0,896,0,0,1622,2100,0
2022-02-02 02:24:13.558989-03:00,143,1456,0,3286,1223,0,1516,434,0,80,0,0,1706,0,0,2064,0,0,909,0,0,1631,2113,0
2022-02-02 02:24:13.558989-03:00,139,1459,0,3262,1220,0,1517,465,0,71,0,0,1739,0,0,2063,0,0,902,0,0,1632,2114,0
2022-02-02 02:24:13.558989-03:00,142,1455,0,3257,1232,0,1497,466,0,65,0,0,1699,0,0,2064,0,0,903,0,0,1630,2101,0
2022-02-02 02:24:13.558989-03:00,142,1463,0,3269,1232,0,1509,464,0,66,0,0,1714,0,0,2067,0,0,913,0,0,1643,2128,0
2022-02-02 02:24:13.558989-03:00,129,1486,0,3278,1229,0,1520,388,0,64,0,0,1712,0,0,2030,0,0,896,0,0,1649,2112,0
2022-02-02 02:24:13.558989-03:00,135,1491,0,3278,1216,0,1547,221,0,69,0,0,1689,0,0,2057,0,0,898,0,0,1648,2337,0
2022-02-02 02:24:13.558989-03:00,143,1501,0,3291,1258,0,1552,501,0,61,0,0,1710,0,0,2062,0,0,883,0,0,1675,2109,0
2022-02-02 02:24:13.558989-03:00,132,1513,0,3293,1236,0,1552,465,0,54,0,0,1712,0,0,2053,0,0,893,0,0,1648,2096,0
2022-02-02 02:24:13.558989-03:00,118,1499,0,3278,1232,0,1552,457,0,45,0,0,1707,0,0,2032,0,0,879,0,0,1648,2096,0
2022-02-02 02:24:13.558989-03:00,122,1490,0,3275,1226,0,1552,480,0,48,0,0,1697,0,0,2045,0,0,883,0,0,1648,2138,0
2022-02-02 02:24:13.558989-03:00,122,1497,0,3277,1227,0,1535,482,0,54,0,0,1693,0,0,2038,0,0,869,0,0,1636,2099,0
2022-02-02 02:24:13.558989-03:00,128,1497,0,3274,1226,0,1553,464,0,59,0,0,1697,0,0,2031,0,0,945,0,0,1635,2106,0
2022-02-02 02:24:13.558989-03:00,103,1498,0,3269,1218,0,1548,463,0,51,0,0,1694,0,0,2017,0,0,901,0,0,1619,2109,0
2022-02-02 02:24:13.558989-03:00,93,1475,0,3283,1221,0,1555,443,0,67,0,0,1675,0,0,2006,0,0,895,0,0,1621,2098,0
2022-02-02 02:24:13.558989-03:00,100,1487,0,3254,1217,0,1574,450,0,54,0,0,1667,0,0,1883,0,0,898,0,0,1621,2097,0
