0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2022-02-02 14:56:58.009406-03:00,0,2539,0,0,3399,0,400,2819,0,0,407,0,1946,0,0,2394,0,0,0,0,0,490,0,0
2022-02-02 14:56:58.009406-03:00,0,2522,0,0,3386,0,379,2817,0,0,410,0,1936,0,0,2384,0,0,0,0,0,464,0,0
2022-02-02 14:56:58.009406-03:00,0,2528,0,0,3358,0,368,2819,0,0,429,0,1910,0,0,2385,0,0,0,0,0,390,0,0
2022-02-02 14:56:58.009406-03:00,0,2524,0,0,3383,0,395,2817,0,0,426,0,1919,0,0,2382,0,0,0,0,0,349,0,0
2022-02-02 14:56:58.009406-03:00,0,2519,0,0,3369,0,400,2815,0,0,425,0,1907,0,0,2379,0,0,0,0,0,353,0,0
2022-02-02 14:56:58.009406-03:00,0,2513,0,0,3373,0,423,2819,0,0,411,0,1906,0,0,2381,0,0,0,0,0,351,0,0
2022-02-02 14:56:58.009406-03:00,0,2519,0,0,3364,0,400,2817,0,0,437,0,1904,0,0,2373,0,0,0,0,0,365,0,0
2022-02-02 14:56:58.009406-03:00,0,2519,0,0,3362,0,414,2826,0,0,438,0,1906,0,0,2381,0,0,0,0,0,389,0,0
2022-02-02 14:56:58.009406-03:00,0,2506,0,0,3372,0,411,2816,0,0,464,0,1920,0,0,2386,0,0,0,0,0,406,0,0
2022-02-02 14:56:58.009406-03:00,0,2514,0,0,3364,0,411,2829,0,0,484,0,1945,0,0,2395,0,0,0,0,0,423,0,0
2022-02-02 14:56:58.009406-03:00,0,2538,0,0,3376,0,422,2842,0,0,508,0,1939,0,0,2401,0,0,0,0,0,383,0,0
2022-02-02 14:56:58.009406-03:00,0,2544,0,0,3379,0,420,2832,0,0,528,0,1946,0,0,2399,0,0,0,0,0,401,0,0
2022-02-02 14:56:58.009406-03:00,0,2551,0,0,3376,0,434,2833,0,0,537,0,1966,0,0,2422,0,0,0,0,0,425,0,0
2022-02-02 14:56:58.009406-03:00,0,2555,0,0,3416,0,435,2844,0,0,560,0,2015,0,0,2425,0,0,0,0,0,425,0,0
2022-02-02 14:56:58.009406-03:00,0,2557,0,0,3401,0,365,2852,0,0,539,0,2080,0,0,2451,0,0,0,0,0,425,0,0
2022-02-02 14:56:58.009406-03:00,0,2559,0,0,3403,0,254,2857,0,0,544,0,2107,0,0,2458,0,0,0,0,0,370,0,0
2022-02-02 14:56:58.009406-03:00,0,2570,0,0,3418,0,194,2861,0,0,554,0,2186,0,0,2489,0,0,0,0,0,342,0,0
2022-02-02 14:56:58.009406-03:00,0,2571,0,0,3408,0,60,2864,0,0,450,0,2231,0,0,2487,0,0,0,0,0,330,0,0
2022-02-02 14:56:58.009406-03:00,0,2578,0,0,3370,0,10,2870,0,0,384,0,2272,0,0,2480,0,0,0,0,0,277,0,0
2022-02-02 14:56:58.009406-03:00,0,2571,0,0,3386,0,0,2872,0,0,325,0,2324,0,0,2481,0,0,0,0,0,192,0,0
2022-02-02 14:56:58.009406-03:00,0,2559,0,0,3383,0,0,2878,0,0,404,0,2402,0,0,3204,0,0,0,0,0,127,0,0
2022-02-02 14:56:58.009406-03:00,0,2567,0,0,3363,0,0,2883,0,0,408,0,2406,0,0,2470,0,0,0,0,0,111,0,0
